base_ID,location,description
464,Kiryat Ata,very very very very very excellent
465,Ashkelon,good
466,Kiryat Motzkin,very very very very very very bad
467,Kiryat Bialik,very very very very very bad
468,Kiryat Ono,very bad
469,Kiryat Bialik,bad
470,Bat Yam,very excellent
471,Netanya,very very very very very good
472,Rishon LeZion,very very very bad
473,Kiryat Haim,excellent
474,Kiryat Haim,very bad
475,Petah Tikva,very very very very very very good
476,Rishon LeZion,very very bad
477,Petah Tikva,very very very very good
478,Lod,very very very very very very very very bad
479,Kiryat Arba,very very very very very bad
480,Kiryat Sharet,very very very very very very very very bad
481,Kiryat Sharet,very very very bad
482,Kiryat Malachi,top quality
483,Kiryat Arba,very very very excellent
484,Kiryat Sharet,very very very very very very good
485,Bnei Brak,very very very very very very excellent
486,Kiryat Arba,very very very very very very very very very good
487,Tel Aviv,very very very very very very very good
488,Lod,very very very very very very excellent
489,Jerusalem,very very very very very very very very very excellent
490,Beer Sheva,very very very very very bad
491,Herzliya,very very very very very very very very very bad
492,Kiryat Gat,very very bad
493,Ramat Gan,very very very very excellent
494,Kiryat Haim,very very very very very bad
495,Herzliya,bad
496,Ashkelon,very very very very very very very very good
497,Petah Tikva,very very very very very good
498,Kiryat Yam,very very bad
499,Kiryat Bialik,very very very very very very very good
